PDF路径,TXT路径,状态,页数,字符数,非空白字符,汉字数,替换字符数,说明
1.3_文献不足/公众对预制菜的KAP调查及关注焦点研究_梁世圆.pdf,_全文文本/1.3_文献不足/公众对预制菜的KAP调查及关注焦点研究_梁世圆.pdf.txt,ok,8,41394,18443,7717,0,
1.3_文献不足/补充文献_16篇/PDF全文/01_Wen_Wu_2021_Consumer_Trust_in_Food_and_the_Food_System_A_Critical_Review.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/01_Wen_Wu_2021_Consumer_Trust_in_Food_and_the_Food_System_A_Critical_Review.pdf.txt,ok,15,77605,54244,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/07_Jianhua_Wang_2018_Urban_Chinese_Consumers_Willingness_to_Pay_for_Pork_with_Certified_Labels_A_Discrete_Choic.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/07_Jianhua_Wang_2018_Urban_Chinese_Consumers_Willingness_to_Pay_for_Pork_with_Certified_Labels_A_Discrete_Choic.pdf.txt,ok,14,152473,50792,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/08_Cheng_Liu_2018_A_study_on_Chinese_consumer_preferences_for_food_traceability_information_using_best_worst.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/08_Cheng_Liu_2018_A_study_on_Chinese_consumer_preferences_for_food_traceability_information_using_best_worst.pdf.txt,ok,16,89879,46230,0,2,
1.3_文献不足/补充文献_16篇/PDF全文/09_Bo_Hou_2019_Consumers_Willingness_to_Pay_for_Foods_with_Traceability_Information_Ex_Ante_Quality_Assur.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/09_Bo_Hou_2019_Consumers_Willingness_to_Pay_for_Foods_with_Traceability_Information_Ex_Ante_Quality_Assur.pdf.txt,ok,14,75451,47603,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/13_Angelo_Corallo_2021_Assuring_Effectiveness_in_Consumer_Oriented_Traceability_Suggestions_for_Food_Label_Design.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/13_Angelo_Corallo_2021_Assuring_Effectiveness_in_Consumer_Oriented_Traceability_Suggestions_for_Food_Label_Design.pdf.txt,ok,17,109526,64641,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/15_Stephan_G_H_Meyerding_2016_Consumer_preferences_for_food_labels_on_tomatoes_in_Germany_A_comparison_of_a_quasi_experi.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/15_Stephan_G_H_Meyerding_2016_Consumer_preferences_for_food_labels_on_tomatoes_in_Germany_A_comparison_of_a_quasi_experi.pdf.txt,ok,16,50846,37826,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/16_Marissa_Begin_2017_Consumer_preferences_for_food_allergen_labeling.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/16_Marissa_Begin_2017_Consumer_preferences_for_food_allergen_labeling.pdf.txt,ok,11,70303,41730,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/19_Yingqi_Zhong_2018_Effects_of_Food_Additive_Information_on_Consumers_Willingness_to_Accept_Food_with_Additive.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/19_Yingqi_Zhong_2018_Effects_of_Food_Additive_Information_on_Consumers_Willingness_to_Accept_Food_with_Additive.pdf.txt,ok,17,76338,51304,0,0,
1.3_文献不足/补充文献_16篇/PDF全文/25_Wim_Verbeke_2008_Impact_of_communication_on_consumers_food_choices.pdf,_全文文本/1.3_文献不足/补充文献_16篇/PDF全文/25_Wim_Verbeke_2008_Impact_of_communication_on_consumers_food_choices.pdf.txt,ok,8,86719,42115,0,0,
